symbol,company,price,quantity,season,category
RICE1KG,Fortune,85,50,All,Rice
SUGAR1KG,Dalda,45,40,All,Sugar
WHEAT1KG,ShaktiBhog,60,30,All,Flour
OIL1L,Fortune,200,25,All,Oils
MILO1KG,Amul,550,15,All,Dairy
MILK1L,Amul,55,100,All,Dairy
MANGO1KG,LocalFarm,120,20,Summer,Fruits
BANANA1KG,LocalFarm,50,50,All,Fruits
APPLE1KG,Imported,250,25,Autumn,Fruits
TOMATO1KG,LocalFarm,30,40,All,Vegetables
POTATO1KG,LocalFarm,25,60,All,Vegetables
ONION1KG,LocalFarm,40,50,All,Vegetables
TEA100G,RedLabel,200,30,All,Beverages
COFFEE100G,Nescafe,300,20,All,Beverages
BISCUITS200G,ParleG,40,80,All,Snacks
CHIPS100G,Lays,30,60,All,Snacks
SALT1KG,Tata,20,70,All,Spices
TURMERIC100G,MDH,60,40,All,Spices
SUGARFREE500G,DateFree,120,25,All,Health
SOAPS100G,Dove,50,50,All,PersonalCare
SHAMPOO200ML,ClinicPlus,120,30,All,PersonalCare
RICE5KG,Fortune,400,20,All,Rice
SUGAR5KG,Dalda,200,15,All,Sugar
WHEAT5KG,ShaktiBhog,280,10,All,Flour
OIL5L,Fortune,950,8,All,Oils
YOGURT500G,Amul,90,40,All,Dairy
CHEESE200G,Amul,180,25,All,Dairy
ORANGE1KG,LocalFarm,80,30,Winter,Fruits
GRAPES1KG,Imported,200,15,Autumn,Fruits
CARROT1KG,LocalFarm,35,40,All,Vegetables
CABBAGE1KG,LocalFarm,25,50,All,Vegetables
GREENTEA100G,RedLabel,250,20,All,Beverages
INSTANTCOFFEE50G,Nescafe,150,30,All,Beverages
BISCUITS500G,ParleG,90,50,All,Snacks
NAMKEEN200G,Lays,60,45,All,Snacks
PEPPER100G,Tata,100,20,All,Spices
GINGER100G,MDH,70,25,All,Spices
PROTEINBAR50G,DateFree,80,30,All,Health
TOOTHPASTE100G,Colgate,50,50,All,PersonalCare
SHAMPOO500ML,ClinicPlus,250,20,All,PersonalCare
